,Address,Telephone,Fax_number,Email,Internet,Ofizieller Name,Hauptsitz,Branche,Unternehmensgegenstand,Handelsregister,Rechtsform,Firmengründung,Stammkapital
70,"('Hässler Landesproduktehandel OHG', 'Ringstrasse 13', '78086', 'Brigachtal')",+49 (07721) 21110,,,,Hässler Landesproduktehandel OHG,Brigachtal (Ortsteil Kirchdorf),../branchenbuch/branche_51.21.php,OHG: Offene Handelsgesellschaft,,,,
71,"('Petagoras AG Niederlassung', 'Haselweg 7 a', '78086', 'Brigachtal')",,,,,Petagoras AG Niederlassung,Brigachtal,,,,,,
72,"('Peter Scholz GmbH', 'Überaucher Strasse 6-8', '78086', 'Brigachtal')",+49 (07721) 98700,,,,Peter Scholz GmbH,Brigachtal (Ortsteil Kirchdorf),../branchenbuch/branche_51.57.php,GmbH: Gesellschaft mit beschränkter Haftung,,,,
73,"('Sportschützenvereinigung Brigachtal e.V.', 'Auf den Rainen', '78086', 'Brigachtal')",+49 (07721) 21677,,,,Sportschützenvereinigung Brigachtal e.V.,Brigachtal,../branchenbuch/branche_92.62.1.php,e.V.: Eingetragener Verein,,,,
74,"('Uwe Kille e.K.', 'Bergstrasse 1/1', '78086', 'Brigachtal')",+49 (07721) 21036,,,,Uwe Kille e.K.,Brigachtal (Ortsteil Kirchdorf),../branchenbuch/branche_67.21.php,e.K.: Eingetragener Kaufmann/Eingetragene Kauffrau (auch e.Kfm. oder e.Kffr.),,,,
75,"('Brigach-Apotheke Annette Schulz', 'Marbacher Strasse 4', '78086', 'Brigachtal')",+49 (07721) 24044,,,,Brigach-Apotheke Annette Schulz,Brigachtal (Ortsteil Kirchdorf),../branchenbuch/branche_52.31.php,,,,,
76,"('Hotel Fürstenresidenz Paderborn GmbH + Co. KG', 'Steinwiesen 12', '78086', 'Brigachtal')",,,,,Hotel Fürstenresidenz Paderborn GmbH + Co. KG,Brigachtal,,GmbH + Co. KG: Gesellschaft mit beschränkter Haftung und Compagnie Kommanditgesellschaft,,,,
77,"('Musikverein Klengen e.V.', 'Hauptstrasse 59', '78086', 'Brigachtal')",,,,,Musikverein Klengen e.V.,Brigachtal (Ortsteil Kirchdorf),../branchenbuch/branche_91.33.1.php,e.V.: Eingetragener Verein,,,,
78,"('Stoffmarkt Mahler e.K.', 'Hauptstrasse 15', '78086', 'Brigachtal')",,,,,Stoffmarkt Mahler e.K.,Brigachtal (Ortsteil Kirchdorf),../branchenbuch/branche_52.41.php,e.K.: Eingetragener Kaufmann/Eingetragene Kauffrau (auch e.Kfm. oder e.Kffr.),,,,
79,"('ODT Organisations- und Datentechnik GmbH', 'Öschleweg 4', '78086', 'Brigachtal')",,,,,ODT Organisations- und Datentechnik GmbH,Brigachtal,,GmbH: Gesellschaft mit beschränkter Haftung,,,,
